['-5.017831660006418e-05', '0.0001384923191588224', '-0.0001886484949003568', '0.0001886920208108665', '-0.0001385987390522057', '5.0353534594082e-05', '5.019919414777683e-05', '-0.0001384743778835954', '0.0001886509740393689', '-0.0001886799937832842', '0.0001385615477150612', '-5.036725317183247e-05']
['-0.0001886925458576703', '0.0001886687115853275', '-0.0001383079892216786', '5.018594568881984e-05', '5.028366711037043e-05', '-0.0001384465470376963', '0.0001886718938781091', '-0.000188737680253554', '0.0001384479977866434', '-5.021838406613064e-05', '-5.030054352194976e-05', '0.0001384779876967441']
['-0.0001957849402672841', '0.0001753195983110441', '-0.0001147235268152349', '1.488574632407165e-05', '8.594507678962539e-05', '-0.0001584381684696242', '0.0001957774051530443', '-0.0001753931284120748', '0.0001148560265109496', '-1.485338143694802e-05', '-8.607582639365753e-05', '0.0001585262506035548']
['-0.0001957626512681772', '0.0001585914618458452', '-8.609023312988143e-05', '-1.489230091891895e-05', '0.0001146085678785001', '-0.0001751911125368697', '0.0001957457690873274', '-0.0001585256169523352', '8.59904563109161e-05', '1.492700457024916e-05', '-0.0001145951924908722', '0.0001752161380354531']
['-0.0001886747962395388', '0.0001385626968023334', '-5.036770344793166e-05', '-5.016325829449649e-05', '0.0001384995008984796', '-0.0001886395466954622', '0.0001886964645402228', '-0.000138513692684143', '5.026434618305907e-05', '5.021814143004825e-05', '-0.0001385610781522077', '0.0001886552945598781']
['-0.0001753616883897642', '0.0001147780031902841', '-1.482100490355909e-05', '-8.600867910797056e-05', '0.0001584522597117375', '-0.000195747512667094', '0.000175370569506582', '-0.0001148237921629137', '1.481510234064947e-05', '8.601756749541046e-05', '-0.0001584253753262405', '0.0001957641089896925']
['-0.0001585081766302721', '8.607658326207448e-05', '1.495766534917164e-05', '-0.0001146563563923418', '0.0001751947155026135', '-0.0001957112313827916', '0.0001584721088390926', '-8.60667161700689e-05', '-1.495654460804232e-05', '0.0001147423334777307', '-0.0001752223433162676', '0.0001957151177602184']
['-0.0001385264154295597', '5.021085109318477e-05', '5.018512309703329e-05', '-0.0001384717552115912', '0.000188681327124608', '-0.0001885965766906107', '0.0001385127321611016', '-5.024452994659941e-05', '-5.027988132344849e-05', '0.0001384581955945638', '-0.000188619018118607', '0.000188656023052174']
['-0.0001148163493610717', '1.491444934724276e-05', '8.609937234926799e-05', '-0.0001584961887264415', '0.0001957616318174294', '-0.0001753071898608198', '0.0001146895497805269', '-1.484226835192119e-05', '-8.610337226515816e-05', '0.0001585225651605281', '-0.0001957415778879922', '0.0001753277446956477']
['-8.599622115396014e-05', '-1.483566154627064e-05', '0.0001147593971912055', '-0.0001752187021838292', '0.0001957696788071647', '-0.00015845916992856', '8.602746475884273e-05', '1.485587792190552e-05', '-0.0001148308342290294', '0.0001752244896679988', '-0.0001957666375206008', '0.0001584761373921104']
['-5.033715481060951e-05', '-5.032805658948381e-05', '0.0001384950890445076', '-0.0001886682977705425', '0.0001887050283731142', '-0.0001384407895729641', '5.037440547126928e-05', '5.035539611816822e-05', '-0.0001385204928952798', '0.000188699759023887', '-0.0001886626682298595', '0.0001382932312418029']
['-1.491454244458549e-05', '-8.6034139064542e-05', '0.0001584643104860459', '-0.0001957658722834099', '0.0001753001546641374', '-0.0001148451180315456', '1.488135937665383e-05', '8.608669460771765e-05', '-0.0001584365142463979', '0.0001957963282457647', '-0.0001752666644239415', '0.0001146982989119329']
['1.488839686936093e-05', '-0.0001146622099905124', '0.0001752466103415821', '-0.0001957518634729221', '0.0001584958532070396', '-8.607472507083135e-05', '-1.486599061144173e-05', '0.00011463048373572', '-0.0001753571458161878', '0.0001957914068853851', '-0.0001584495170664848', '8.607477899658713e-05']
['5.020403770910076e-05', '-0.0001384728602919828', '0.0001886639106820433', '-0.000188680962753925', '0.0001384939575650261', '-5.035468352531556e-05', '-5.017135307766754e-05', '0.0001384970297128507', '-0.0001887462622867133', '0.0001887140161649355', '-0.000138527828284337', '5.038235658652788e-05']
['8.600597191445903e-05', '-0.0001584557291854055', '0.000195763557844304', '-0.0001753622575473289', '0.0001148641435050334', '-1.479298648153202e-05', '-8.597578891188427e-05', '0.000158453409140246', '-0.0001958910718342411', '0.0001753853848503205', '-0.0001148109260642633', '1.479410542610923e-05']
